"","Source","Station","Longitude","Latitude"
"1","EMP","NZD16",-121.666666666667,38.0972222222222
"2","EMP","NZ098",-121.534444444444,37.9708333333333
"3","EMP","NZD28",-121.577222222222,37.9827777777778
"4","EMP","NZM10",-121.426388888889,38.0436111111111
"5","EMP","NZ028",-122.047222222222,38.1172222222222
"6","EMP","NZ41A",-122.411111111111,38.0708333333333
"7","EMP","NZ074",-121.803611111111,38.0222222222222
"8","EMP","NZ086",-121.570277777778,38.0777777777778
"9","EMP","NZ054",-121.906388888889,38.0458333333333
"10","EMP","NZ064",-121.738055555556,38.0847222222222
"11","EMP","NZ082",-121.650833333333,38.0897222222222
"12","EMP","NZS42",-122.047222222222,38.1805555555556
"13","EMP","NZ072",-121.835277777778,38.0316666666667
"14","EMP","NZC09",-121.553888888889,37.8344444444444
"15","EMP","NZD19",-121.613611111111,38.0438888888889
"16","EMP","NZD14",-121.710555555556,38.0180555555556
"17","EMP","NZ060",-121.828888888889,38.0644444444444
"18","EMP","NZ078",-121.706666666667,38.0475
"19","EMP","NZD15",-121.688333333333,38.0525
"20","EMP","NZ090",-121.449166666667,38.0019444444444
"21","EMP","NZ088",-121.514166666667,38.0541666666667
"22","EMP","NZ002",-122.206944444444,38.0602777777778
"23","EMP","NZ022",-122.096111111111,38.0719444444444
"24","EMP","NZ084",-121.605555555556,38.1036111111111
"25","EMP","NZ020",-122.109722222222,38.0597222222222
"26","EMP","NZ103",-121.5925,38.1725
"27","EMP","NZ092",-121.381944444444,37.9783333333333
"28","EMP","NZC03",-121.540277777778,38.3477777777778
"29","EMP","NZ076",-121.763611111111,38.0219444444444
"30","EMP","NZ058",-121.868333333333,38.0597222222222
"31","EMP","NZ048",-121.995833333333,38.06
"32","EMP","NZ052",-121.917222222222,38.0463888888889
"33","EMP","NZ004",-122.158333333333,38.0291666666667
"34","EMP","NZ310",-122.323611111111,38.0266666666667
"35","EMP","NZ080",-121.676666666667,38.0733333333333
"36","EMP","NZ325",-122.288888888889,38.0577777777778
"37","EMP","NZ104",-121.663333333333,38.0563888888889
"38","EMP","NZP02",-121.488888888889,38.2333333333333
"39","EMP","NZ044",-122.061111111111,38.065
"40","EMP","NZM06",-121.5,38.1411111111111
"41","EMP","NZ046",-122.034166666667,38.065
"42","EMP","NZ056",-121.884722222222,38.0488888888889
"43","EMP","NZ030",-122.051944444444,38.1152777777778
"44","EMP","NZ066",-121.714444444444,38.1086111111111
"45","EMP","NZ005",-122.135277777778,38.0316666666667
"46","EMP","NZ062",-121.796111111111,38.0616666666667
"47","EMP","NZ024",-122.069166666667,38.0930555555556
"48","EMP","NZ100",-121.615833333333,38.1969444444444
"49","EMP","NZD06",-122.116666666667,38.0444444444444
"50","EMP","NZM07",-121.495277777778,38.1261111111111
"51","EMP","NZD11",-121.792777777778,38.0427777777778
"52","EMP","NZ032",-122.020833333333,38.1702777777778
"53","EMP","NZD41",-122.370833333333,38.0305555555556
"54","EMP","NZ050",-121.965277777778,38.0580555555556
"55","EMP","NZ003",-122.178333333333,38.0525
"56","EMP","NZ068",-121.683611111111,38.1480555555556
"57","EMP","NZ040",-121.936666666667,38.0738888888889
"58","EMP","NZ034",-121.883333333333,38.0777777777778
"59","EMP","NZ042",-122.092222222222,38.0491666666667
"60","EMP","NZ036",-122.014166666667,38.0916666666667
"61","EMP","NZ305",-122.35,38.0402777777778
"62","EMP","NZ070",-121.666666666667,38.1775
"63","EMP","NZ300",-122.4,38.0111111111111
"64","EMP","NZ071",-121.664722222222,38.2113888888889
"65","EMP","NZ038",-121.988888888889,38.0744444444444
"66","EMP","NZ033",-121.912222222222,38.1352777777778
"67","EMP","NZ101",-121.671388888889,38.2377777777778
"68","EMP","NZ338",-122.243055555556,38.0661111111111
"69","EMP","NZ295",-122.4325,37.9711111111111
"70","EMP","NZM03",-121.556666666667,38.1455555555556
"71","EMP","NZ099",-121.691666666667,38.2583333333333
"72","EMP","NZ161",-121.643611111111,38.3419444444444
"73","EMP","NZ169",-121.583888888889,38.47
"74","EMP","NZ155",-121.660555555556,38.2716666666667
"75","EMP","NZ069",-121.643888888889,38.1722222222222
"76","EMP","NZ165",-121.611666666667,38.405
"77","EMP","NZ340",-122.278611111111,38.1086111111111
"78","EMP","NZM09",-121.47,38.0836111111111
"79","EMP","NZ002",-122.206944444444,38.0602777777778
"80","EMP","NZ325",-122.288888888889,38.0577777777778
"81","EMP","NZ004",-122.158333333333,38.0291666666667
"82","EMP","NZ054",-121.906388888889,38.0458333333333
"83","EMP","NZ074",-121.803611111111,38.0222222222222
"84","EMP","NZD41",-122.370833333333,38.0305555555556
"85","EMP","NZ028",-122.047222222222,38.1172222222222
"86","EMP","NZ032",-122.020833333333,38.1702777777778
"87","EMP","NZS42",-122.047222222222,38.1805555555556
"88","EMP","NZD19",-121.613611111111,38.0438888888889
"89","EMP","NZD28",-121.577222222222,37.9827777777778
"90","EMP","NZ048",-121.995833333333,38.06
"91","EMP","NZ060",-121.828888888889,38.0644444444444
"92","EMP","NZ064",-121.738055555556,38.0847222222222
